iter	Passed	Remaining
0	23	2328
1	43	2118
2	49	1613
3	69	1671
4	88	1684
5	107	1685
6	129	1717
7	148	1711
8	170	1719
9	190	1711
10	209	1698
11	230	1688
12	253	1697
13	272	1676
14	292	1658
15	318	1673
16	340	1660
17	362	1649
18	382	1629
19	402	1608
20	421	1586
21	440	1562
22	459	1539
23	481	1524
24	502	1507
25	522	1486
26	541	1464
27	562	1445
28	585	1432
29	611	1426
30	631	1406
31	652	1387
32	673	1367
33	693	1346
34	715	1328
35	734	1306
36	755	1287
37	776	1266
38	796	1245
39	816	1225
40	836	1204
41	856	1182
42	875	1160
43	894	1138
44	914	1117
45	934	1096
46	955	1077
47	978	1059
48	997	1038
49	1016	1016
50	1035	995
51	1055	973
52	1074	952
53	1093	931
54	1114	911
55	1135	892
56	1154	870
57	1176	851
58	1204	837
59	1233	822
60	1257	803
61	1279	784
62	1305	767
63	1336	751
64	1361	732
65	1389	715
66	1410	694
67	1429	672
68	1449	651
69	1471	630
70	1491	609
71	1509	587
72	1529	565
73	1547	543
74	1566	522
75	1588	501
76	1609	480
77	1630	459
78	1651	438
79	1672	418
80	1694	397
81	1715	376
82	1736	355
83	1756	334
84	1781	314
85	1806	294
86	1834	274
87	1859	253
88	1883	232
89	1906	211
90	1929	190
91	1954	169
92	1975	148
93	1995	127
94	2015	106
95	2034	84
96	2054	63
97	2074	42
98	2093	21
99	2113	0
